number;type_car;make;rasp;plate_number;green_card;chassis;year;color;comment
1;CAMION;MERCEDES BENZ/113;L-0000568;AAV743;1830801;34404112463627;1.979;;
2;CAMIONETA;ISUZU TROOPER;L-0000566;AOS009;1830820;JACUBS522G4498096;1.986;;
3;CAMIONETA ;TOYOTA HILUX;L-0000634;AVN827;1838987;LN850137636;1.995;;
4;S.T. WAGON;TOYOTA ESTIMA ;L-0002254;NAB197;1841210;CXR100133221 ;1.997;;
5;CAMIONETA;NISSAN PICK UP;L-0000503;AKL490;1841976;3N6GD13SXZK00694;2.000;;
6;MOTOCICLETA;LEOPARD MD 125/2005(ROJO;;926NAA;;9PEADEE555L007356;2.005;;
7;RETROEXCABADORA;JCB;L-0000807;TDA990;1831457;1001561;2.006;;
8;CAMION RECOLECTOR;MERCEDES BENZ L 1620/51/2.006;COMODATO CON LA EBY;AGZ683;1831462;9BM6950146B444412;2.006;;
9;;;;;1832639;;;;
10;MOTOCICLETA;LEOPARD 150 SPORT (NEGRO);L-0002254;092PAB -147NBC;1834663;9PCDDFE557L202470;2.007;;
11;MOTOCICLETA;MAGNUM ADVENT -150;;;1833918;;2.008;;
12;MOTOCICLETA;MAGNUM ADVENT -150;;;1833907;;2.008;;
13;CAMIONETA D/C;NISSAN PICK UP;L - 0000636;BBH691;1833890;3N6GD13SOZK861316;2.008;;
14;CAMION COMPACTADOR DE BASURA;SCANIA P310;L-0002050;NBG838;1833872;XLEP4X20005205245;2.008;;
15;MOTONIVELADORA;JOHN DEERE 670G;L-0000815;TDE335;1830607;1DW670GXLA0629573;2.010;;
16;;;;;1831446;;;;
17;COMPACTADOR VIBRA;CATERPILLAR CS-533E/2011;L-0000809;TDO676;2188141;CATCS533JBZE02484;2.011;;
18;;;;;2188842;;;;
19;CAMION BLANCO;"FORD CARGO 1722E 4,9L";L-0000810;BLC143;2190938;9BFYEAAXV4CBS95047;2.011;;
20;;;;;2191339;;;;
21;CAMIONETA DOBLE CABINA;ISUZU TF5XJDLPADG-17A052;L-0000812;BLP121;2191343;MPATFS85JDT000704;2.012;;
22;;;;;2191346;;;;
23;RETRO EXCABADORA;CATERPILLAR 416 E;L-0000808;TDO683;2191348;CAT0416EHMFG03493;2.012;;
24;;;;;2191350;;;;
25;CAMION BLANCO;FORD CARGO;L-0000811;BNF335;2195233;9BFYEAXV6DBS266884;2.012;;
26;ACOPLADO CARGATODI 2 EJES;METALURGICA SAN PABLO;L-0000814;NAS907;2198073;10302000005;2.012;;
27;PALACARGADORA;LIUGONG CLG835;L - 0000954;TDR822;2497532;CLG835J1301167;2.013;;
28;;;;;2493573;;;;
29;TRACTOR AGRICOLA;MASSEY FERGUSON MF291/4/2.013;L - 0000955;TDP022;2491574;2914361252;2.013;;
30;;;;;2503721;;;;
31;MOTONIVELADORA;CATERPILLAR 120K;L-0001054;TDV134;2502916;JAP06555;2.014;;
32;;;;;2491181;;;;
33;MOTOCICLETA;HONDA XR 150L/2015(BLANCO);L-0002052;027NCV;2502713;LTMKDO795F5111855;2.014;;
34;MOTOCICLETA;HONDA XR 150L/2015(BLANCO);L-0002051;026NCV;2497533;LTMKDO792F5111828;2.014;;
35;CAMIONETA D/C;NISSAN FRONTIER;L - 0000962;NBF533;2497346;3N6PD23XXZK945547;2.015;;
36;CAMIONETA D/C;NISSAN FRONTIER;L - 0000961;NBF534;2507676;3N6PD23X6ZK945481;2.015;;
37;MOTOCICLETA;HONDA CB1/2017(BLANCO);L-0002054;028NCV;En Tramite;LWBJA3394H1200839;2.016;;
38;MOTOCICLETA;HONDA CB1/2017(BLANCO);L-0002053;025NCV;En Tramite;LWBJA3396H1201023;2.016;;
39;REROEXCABADORA;JCB;L-0002062;TBR916;En Tramite;SOR3CXTTPH1919707;2017;;
40;OMNIBUS;HYUNDAI COUNTY/2017;L-0002059;HCN870;En Tramite;KMJHG17PPHCO69221;2016;;
41;OMNIBUS;HYUNDAI COUNTY/2017;L-0002060;HCN862;890279;KMJHG17PPHCO69240;2016;;
42;CAMIONETA;VOLSWAGEN AMAROK;L-0002063;NBL450;894510;WV1ZZZ2HZJA000694;2017;;
50;TRACTOR AGRICOLA;MASSEY FERGUSON;L-0002061;TBR911;103231;429843D898;2016;;
51;MOTOCICLETA;HONDA XR 150LEKH/2017;L-0002055;729GAF;1158811;LTMKDO790H5213647;2.016;;
52;MOTOCICLETA;HONDA CB1/2017;L-0002056;728GAF;1159291;LWBJA3390H1207870;2.016;;
53;MOTOCICLETA;HONDA CB1/2017;L-0002057;727GAF;1832876;LWBJA3391H1208378;2.016;;
54;MOTOCICLETA;HONDA CB1/2017;L-0002058;730GAF;1832851;LTMKDO794H5214395;2.016;;
55;CAMION VOLQUETE DOBLE  DIFERENCIAL;IVECO TECTOR 260E28;L-0002177;CFT982;2135775;8ATE2RMHOJX106789;2017;;
56;CAMIONETA DOBLE CABINA;NISSAN FRONTIER;L-0002178;HFH641;2135795;3N6CD33A8ZK395541;2019;;
57;CAMION COMPACTADOR DE BASURA;SCANIA R310/2018;L-0002179;NBR353;21923;XLER4X20005217484;2008;;
58;MINICARGADORA ;CASE SR200;L-0002231;TCA638;1340587;JASFR200CHM439647;2017;;
59;ACOPLADO 2 EJES;ACOPLADO BLANCO -RODOMAX;L-0002255;CGB208;1461222;10002000010;2018;;
60;CAMIONETA;"VOLKSWAGEN SAVEIRO ROBUST DC 1,6 TF /2020";L-0002360;AACG773;;9BWJB45U1LP018980;2019;;
61;MINNIBUS;HYUNDAI H-1/2019;L-0002361;AACP848;;KMJWA37KBKU032933;2018;;
